title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
The Gnarlier the Better	BelleDelphine_TheGnarlierTheBetter.mp3	Podcast	225	10-29-2020	3714	Belle Delphine	https://youtu.be/uutn8Lob_ek&t=3714	
Why did you unmatch me? It's me...	BenAffleck_WhyDidYouUnmatchMe.mp3	OTR	39	06-15-2022	5958	Ben Affleck	https://www.youtube.com/watch?v=6TsZE8Cu0-Q&t=5958	
Extra Large and Extra Hard	BenShapiro_ExtraLargeAndExtraHard.mp3	Podcast	206	08-12-2020	5780	Ben Shapiro	https://youtu.be/IgTdy9DElWU&t=5780	
Wet Ass PWord	BenShapiro_WetAssPWord.mp3	Podcast	206	08-12-2020	5761	Ben Shapiro	https://youtu.be/IgTdy9DElWU&t=5761	
Biaaaaaaaaaaanca!	Its_your_girl_Biaaaaaaaaaaaaaannca.mp3	Unknown	1	05-05-2015	0	Biannca Prince	https://youtu.be/zOYZ3XMGjUM&t=0	
Look what they're doing to the cow bro	BigNik_LookWhatTheyreDoingToTheCow.mp3	H3Show	15	05-24-2024	1663	Big Nik	https://youtu.be/iiz9Gispe5I&t=1663	
Come out in the name of jesus!	BigNik_ComeOutRightNowInTheNameOfJesus.mp3	H3TV	101	12-04-2023	9010	Big Nik	https://www.youtube.com/watch?v=uvV6dwI6auI&t=9010	
*OOOOOOUUUUUGGGGHHHH*	BigNik_OOOOUUUUUGH.mp3	H3TV	101	12-04-2023	9010	Big Nik	https://www.youtube.com/watch?v=uvV6dwI6auI&t=9010	
♪ And you lift us from the grouund ♪	BigNik_AndYouLiftUsFromTheGround.mp3	OTR	89	10-11-2023	6634	Big Nik	https://www.youtube.com/watch?v=YmbtrKQIgd8&t=6634	
That's the Devil Right There	BigNik_ThatsTheDevilRightThere.mp3	Unknown	1	05-05-2015	0	Big Nik	https://youtu.be/zOYZ3XMGjUM&t=0	
*Unemployment Rant*	Boogie_UnemploymentRant.mp3	OTR	93	11-08-2023	10917	Boogie2988	https://www.youtube.com/watch?v=FCzT_C9CJew&t=10917	
I NEVER DID. I NEVER DID. I NEEEVER DID!	Boogie_INeverDid.mp3	OTR	77	06-21-2023	1293	Boogie2988	https://www.youtube.com/watch?v=9Kwq6HfbrbU&t=1293	
Boogie's Rant - Did Ethan Klein? Let Me Sign That	Boogie_EthanKleinFullRant.mp3	Unknown	1	05-05-2015	0	Boogie2988	https://youtu.be/zOYZ3XMGjUM&t=0	
WAHHHHH I GOT CALLED A CUCK ONLINE	BowBlax_WahhhIGotCalledACuckOnline.mp3	H3Show	23	06-14-2024	2398	Bowblax	https://youtu.be/LMOswKoe-Nc&t=2398	
